antecedent,consequent,support,confidence,lift
{6},{15},0.164,0.311,1.017
{15},{6},0.164,0.537,1.017
{6},{16},0.278,0.528,1.028
{16},{6},0.278,0.542,1.028
{6},{26},0.222,0.42,1.018
{26},{6},0.222,0.537,1.018
{6},{41},0.12,0.228,1.101
{41},{6},0.12,0.581,1.101
{2},{6},0.154,0.567,1.074
{6},{2},0.154,0.293,1.074
{6},{12},0.202,0.383,1.049
{12},{6},0.202,0.553,1.049
{6},{35},0.121,0.23,1.036
{35},{6},0.121,0.547,1.036
{6},{42},0.168,0.318,1.001
{42},{6},0.168,0.528,1.001
{6},{46},0.211,0.4,1.074
{46},{6},0.211,0.566,1.074
{6},{32},0.234,0.444,1.076
{32},{6},0.234,0.568,1.076
{6},{37},0.124,0.236,1.013
{37},{6},0.124,0.534,1.013
{6},{39},0.17,0.323,1.021
{39},{6},0.17,0.539,1.021
{6},{43},0.109,0.207,0.995
{43},{6},0.109,0.525,0.995
{6},{47},0.113,0.214,1.04
{47},{6},0.113,0.549,1.04
{5},{6},0.122,0.54,1.023
{6},{5},0.122,0.232,1.023
{6},{29},0.159,0.302,1.079
{29},{6},0.159,0.569,1.079
{6},{38},0.147,0.279,1.037
{38},{6},0.147,0.547,1.037
{11},{14},0.199,0.707,0.986
{14},{11},0.199,0.278,0.986
{11},{18},0.205,0.727,1.031
{18},{11},0.205,0.291,1.031
{11},{19},0.161,0.572,1.059
{19},{11},0.161,0.299,1.059
{11},{28},0.103,0.366,1.068
{28},{11},0.103,0.301,1.068
{11},{30},0.172,0.609,1.082
{30},{11},0.172,0.305,1.082
{11},{34},0.19,0.672,1.049
{34},{11},0.19,0.296,1.049
{11},{44},0.108,0.382,1.025
{44},{11},0.108,0.289,1.025
{11},{48},0.138,0.491,1.026
{48},{11},0.138,0.289,1.026
{11},{49},0.114,0.406,1.044
{49},{11},0.114,0.294,1.044
{11},{16},0.154,0.546,1.063
{16},{11},0.154,0.3,1.063
{11},{26},0.117,0.417,1.01
{26},{11},0.117,0.285,1.01
{11},{12},0.11,0.392,1.072
{12},{11},0.11,0.302,1.072
{11},{46},0.113,0.401,1.077
{46},{11},0.113,0.304,1.077
{11},{32},0.125,0.445,1.078
{32},{11},0.125,0.304,1.078
{14},{18},0.527,0.736,1.043
{18},{14},0.527,0.748,1.043
{14},{19},0.399,0.557,1.033
{19},{14},0.399,0.74,1.033
{14},{20},0.205,0.286,1.058
{20},{14},0.205,0.758,1.058
{14},{21},0.233,0.324,1.058
{21},{14},0.233,0.758,1.058
{14},{24},0.157,0.22,1.034
{24},{14},0.157,0.741,1.034
{14},{28},0.257,0.358,1.046
{28},{14},0.257,0.75,1.046
{14},{30},0.421,0.588,1.043
{30},{14},0.421,0.748,1.043
{14},{31},0.124,0.173,1.044
{31},{14},0.124,0.748,1.044
{14},{34},0.475,0.662,1.034
{34},{14},0.475,0.741,1.034
{14},{44},0.283,0.395,1.058
{44},{14},0.283,0.758,1.058
{14},{48},0.356,0.497,1.037
{48},{14},0.356,0.744,1.037
{14},{49},0.289,0.403,1.037
{49},{14},0.289,0.743,1.037
{3},{14},0.175,0.734,1.024
{14},{3},0.175,0.244,1.024
{13},{14},0.11,0.739,1.032
{14},{13},0.11,0.153,1.032
{14},{15},0.221,0.308,1.009
{15},{14},0.221,0.723,1.009
{14},{16},0.38,0.53,1.032
{16},{14},0.38,0.74,1.032
{14},{26},0.305,0.426,1.033
{26},{14},0.305,0.74,1.033
{14},{41},0.153,0.213,1.031
{41},{14},0.153,0.739,1.031
{2},{14},0.202,0.741,1.033
{14},{2},0.202,0.282,1.033
{12},{14},0.279,0.763,1.065
{14},{12},0.279,0.389,1.065
{14},{35},0.169,0.235,1.061
{35},{14},0.169,0.761,1.061
{14},{42},0.234,0.326,1.028
{42},{14},0.234,0.737,1.028
{14},{46},0.279,0.389,1.045
{46},{14},0.279,0.749,1.045
{14},{32},0.299,0.418,1.012
{32},{14},0.299,0.725,1.012
{14},{37},0.175,0.244,1.047
{37},{14},0.175,0.751,1.047
{14},{39},0.234,0.327,1.034
{39},{14},0.234,0.741,1.034
{14},{43},0.155,0.216,1.041
{43},{14},0.155,0.746,1.041
{14},{47},0.153,0.214,1.039
{47},{14},0.153,0.744,1.039
{5},{14},0.172,0.756,1.055
{14},{5},0.172,0.239,1.055
{14},{33},0.125,0.175,1.034
{33},{14},0.125,0.741,1.034
{14},{29},0.201,0.281,1.002
{29},{14},0.201,0.718,1.002
{14},{38},0.204,0.285,1.059
{38},{14},0.204,0.759,1.059
{10},{14},0.101,0.72,1.005
{14},{10},0.101,0.142,1.005
{18},{19},0.4,0.567,1.051
{19},{18},0.4,0.741,1.051
{18},{20},0.202,0.286,1.056
{20},{18},0.202,0.745,1.056
{18},{21},0.223,0.316,1.029
{21},{18},0.223,0.726,1.029
{18},{24},0.156,0.221,1.042
{24},{18},0.156,0.735,1.042
{18},{28},0.244,0.346,1.012
{28},{18},0.244,0.713,1.012
{18},{30},0.397,0.563,0.999
{30},{18},0.397,0.704,0.999
{18},{31},0.117,0.167,1.007
{31},{18},0.117,0.71,1.007
{18},{34},0.466,0.662,1.033
{34},{18},0.466,0.728,1.033
{18},{44},0.271,0.384,1.03
{44},{18},0.271,0.726,1.03
{18},{48},0.348,0.493,1.03
{48},{18},0.348,0.726,1.03
{18},{49},0.283,0.401,1.032
{49},{18},0.283,0.728,1.032
{3},{18},0.175,0.734,1.041
{18},{3},0.175,0.248,1.041
{13},{18},0.11,0.742,1.052
{18},{13},0.11,0.156,1.052
{15},{18},0.223,0.729,1.034
{18},{15},0.223,0.316,1.034
{16},{18},0.369,0.718,1.019
{18},{16},0.369,0.523,1.019
{18},{26},0.299,0.425,1.029
{26},{18},0.299,0.726,1.029
{18},{41},0.146,0.207,1.002
{41},{18},0.146,0.706,1.002
{2},{18},0.203,0.743,1.054
{18},{2},0.203,0.287,1.054
